Category,Secondary Category,Tertiary Categories,Rarity,Attunement,Item,Cost (GP)
Magic Items,Clothing,,Common,NA,Shiftweave,100
Magic Items,Armor,Any Armor,Common,NA,Smoldering Armor,200
Magic Items,Wondrous,Magic Stone,Common,NA,Spellshard,50
Magic Items,Staff,,Common,NA,Staff of Adornment,150
Magic Items,Staff,,Common,NA,Staff of Birdcalls,150
Magic Items,Staff,,Common,NA,Staff of Flowers,150
Magic Items,Wondrous,,Common,Required,Talking Doll,63
Magic Items,Wondrous,,Common,NA,Tankard of Plenty,50
Magic Items,Wondrous,,Common,NA,Tankard of Sobriety,50
Magic Items,Weapon,Arrow,Common,NA,Unbreakable Arrow,100
Magic Items,Wondrous,,Common,NA,Veteran's Cane,50
Magic Items,Weapon,Ammunition,Common,NA,Walloping Ammunition,100
Magic Items,Wand,,Common,NA,Wand of Conducting,100
Magic Items,Wand,,Common,NA,Wand of Pyrotechnics,100
Magic Items,Wand,,Common,NA,Wand of Scowls,100
Magic Items,Wand,,Common,NA,Wand of Smiles,100
Magic Items,Wand,,Common,Required,Wand Sheath,125
Magic Items,Wondrous,,Common,NA,Spyglass of Clairvoyance,50
Potions,Healing,,Common,NA,Potion of Healing,50
Magic Items,Wondrous,,Uncommon,NA,Alchemy Jug,300
Magic Items,Armor,"Medium or Heavy, but Not Hide",Uncommon,NA,Adamantine Armor,700
Magic Items,Weapon,Ammunition,Uncommon,NA,"Ammunition, +1",500
Magic Items,Amulet,,Uncommon,Required,Amulet of Proof against Detection and Location,750
Magic Items,Amulet,,Uncommon,NA,Amulet of the Drunkard,500
Magic Items,Armor,"Light, Medium, or Heavy",Uncommon,NA,"Armor, +1",700
Magic Items,Weapon,Bag,Uncommon,NA,Bag of Bounty,300
Magic Items,Weapon,Bag,Uncommon,NA,Bag of Holding,300
Magic Items,Weapon,Bag,Uncommon,NA,Bag of Tricks,300
Magic Items,Weapon,Boomerang,Uncommon,NA,"Boomerang, +1",500
Magic Items,Boots,,Uncommon,NA,Boots of Elvenkind,250
Magic Items,Boots,,Uncommon,Required,Boots of Striding and Springing,375
Magic Items,Boots,,Uncommon,Required,Boots of the Winterlands,375
Magic Items,Gauntlets,,Uncommon,Required,Bracers of Archery,413
Magic Items,Wondrous,,Uncommon,Required,Brooch of Living Essence,450
Magic Items,Wondrous,,Uncommon,Required,Brooch of Shielding,450
Magic Items,Wondrous,,Uncommon,NA,Broom of Flying,300
Magic Items,Hat,,Uncommon,NA,Cap of Water Breathing,300
Magic Items,Weapon,Hat,Uncommon,NA,Circlet of Blasting,300
Magic Items,Cloak,,Uncommon,Required,Cloak of Elvenkind,450
Magic Items,Cloak,,Uncommon,Required,Cloak of Protection,450
Magic Items,Cloak,,Uncommon,NA,Cloak of the Manta Ray,300
Magic Items,Wondrous,,Uncommon,NA,Decanter of Endless Water,300
Magic Items,Wondrous,,Uncommon,NA,Deck of Illusions,300
Magic Items,Weapon,Bag,Uncommon,NA,Documancy Satchel,300
Magic Items,Wondrous,Instrument,Uncommon,Required,Doss Lute,450
Magic Items,Wondrous,,Uncommon,NA,Driftglobe,300
Magic Items,Weapon,Dust,Uncommon,NA,Dust of Deliciousness,300
Magic Items,Weapon,Dust,Uncommon,NA,Dust of Disappearance,300
Magic Items,Weapon,Dust,Uncommon,NA,Dust of Dryness,300
Magic Items,Weapon,Dust,Uncommon,NA,Dust of Sneezing and Choking,300
Magic Items,Wondrous,,Uncommon,Required,Earworm,450
Magic Items,Wondrous,,Uncommon,NA,Elder's Cartographer's Glossgraphy,300
Magic Items,Wondrous,Magic Stone,Uncommon,NA,Elemental Gem,300
Magic Items,Wondrous,,Uncommon,NA,Eversmoking Bottle,300
Magic Items,Goggles,,Uncommon,Required,Eyes of Charming,300
Magic Items,Goggles,,Uncommon,NA,Eyes of Minute Seeing,200
Magic Items,Goggles,,Uncommon,Required,Eyes of the Eagle,300
Magic Items,Gauntlets,,Uncommon,Required,Gauntlets of Ogre Power,413
Magic Items,Wondrous,Magic Stone,Uncommon,NA,Gem of Brightness,300
Magic Items,Clothing,,Uncommon,NA,Glamerweave,300
Magic Items,Gloves,,Uncommon,Required,Gloves of Missile Snaring,300
Magic Items,Gloves,,Uncommon,Required,Gloves of Swimming and Climbing,300
Magic Items,Gloves,,Uncommon,NA,Gloves of Thievery,200
Magic Items,Goggles,,Uncommon,NA,Goggles of Night,200
Magic Items,Goggles,,Uncommon,Required,Goggles of Object Reading,300
Magic Items,Hat,,Uncommon,Required,Hat of Disguise,450
Magic Items,Hat,,Uncommon,Required,Headband of Intellect,450
Magic Items,Weapon,Any Weapon,Uncommon,NA,Hellfire Weapon,500
Magic Items,Helmet,,Uncommon,NA,Helm of Comprehending Languages,300
Magic Items,Helmet,,Uncommon,Required,Helm of Telepathy,450
Magic Items,Weapon,Battleaxe,Uncommon,NA,Hew,500
Magic Items,Rod,,Uncommon,NA,Immovable Rod,400
Magic Items,Goggles,,Uncommon,Required,Inquisitive's Goggles,300
Magic Items,Weapon,Javelin,Uncommon,NA,Javelin of Lightning,500
Magic Items,Wondrous,,Uncommon,NA,Keoghtom's Ointment,300
Magic Items,Wondrous,,Uncommon,NA,Lantern of Revealing,300
Magic Items,Weapon,Mace,Uncommon,NA,Lightbringer,500
Magic Items,Gloves,,Uncommon,Required,Living Gloves,300
Magic Items,Wondrous,Instrument,Uncommon,Required,Mac-Fuirmidh Cittern,450
Magic Items,Armor,Any Armor,Uncommon,NA,Mariner's Armor,700
Magic Items,Amulet,,Uncommon,Required,Medallion of Thoughts,750
Magic Items,Armor,Any Heavy Armor,Uncommon,Required,Mind Carapace Armor,"1,050"
Magic Items,Armor,"Medium or Heavy, but Not Hide",Uncommon,NA,Mithral Armor,700
Magic Items,Wondrous,,Uncommon,Required,Mizzium Apparatus,450
Magic Items,Amulet,,Uncommon,Required,Necklace of Adaptation,750
Potions,,,Uncommon,NA,Oil of Slipperiness,300
Magic Items,Wondrous,Magic Stone,Uncommon,Required,Pearl of Power,450
Magic Items,Wondrous,,Uncommon,NA,Periapt of Health,300
Magic Items,Wondrous,,Uncommon,Required,Periapt of Wound Closure,450
Potions,,,Uncommon,NA,Philter of Love,300
Magic Items,Wondrous,Instrument,Uncommon,NA,Pipes of Haunting,300
Magic Items,Wondrous,Instrument,Uncommon,Required,Pipes of the Sewers,450
Magic Items,Wondrous,,Uncommon,NA,Portfolio Keeper,300
Magic Items,Helmet,,Uncommon,NA,Propeller Helm,300
Magic Items,Weapon,Quiver,Uncommon,NA,Quiver of Ehlonna,300
Magic Items,Wondrous,,Uncommon,NA,Restorative Ointment,300
Magic Items,Ring,,Uncommon,Required,Ring of Jumping,375
Magic Items,Ring,,Uncommon,Required,Ring of Mind Shielding,375
Magic Items,Ring,,Uncommon,Required,Ring of Obscuring,375
Magic Items,Ring,,Uncommon,NA,Ring of Swimming,250
Magic Items,Ring,,Uncommon,Required,Ring of Truth Telling,375
Magic Items,Ring,,Uncommon,Required,Ring of Warmth,375
Magic Items,Ring,,Uncommon,NA,Ring of Water Walking,250
Magic Items,Ring,,Uncommon,Required,Rings of Shared Suffering,375
Magic Items,Clothing,,Uncommon,Required,Robe of Serpents,450
Magic Items,Clothing,,Uncommon,NA,Robe of Useful Items,300
Magic Items,Rod,,Uncommon,Required,Rod of Retribution,600
Magic Items,Rod,,Uncommon,Required,"Rod of the Pact Keeper, +1",600
Magic Items,Wondrous,,Uncommon,NA,Rope of Climbing,300
Magic Items,Wondrous,,Uncommon,NA,Saddle of the Cavalier,300
Magic Items,Weapon,Dart,Uncommon,NA,Seeker Dart,500
Magic Items,Wondrous,Magic Stone,Uncommon,NA,Sending Stones,300
Magic Items,Armor,Shield,Uncommon,NA,Sentinel Shield,700
Magic Items,Weapon,Longsword,Uncommon,Required,Shatterspike,750
Magic Items,Armor,Shield,Uncommon,NA,"Shield, +1",700
Magic Items,Staff,,Uncommon,Required,Skyblinder Staff,750
Magic Items,Weapon,Boots,Uncommon,Required,Slippers of Spider Climbing,450
Magic Items,Wondrous,,Uncommon,NA,Smokepowder,300
Magic Items,Weapon,Coin,Uncommon,NA,Soul Coin,300
Magic Items,Wondrous,,Uncommon,Required,Spies' Murmur,450
Magic Items,Staff,,Uncommon,Required,Staff of the Adder,750
Magic Items,Staff,,Uncommon,Required,Staff of the Python,750
Magic Items,Wondrous,Magic Stone,Uncommon,Required,Stone of Good Luck,450
Magic Items,Wondrous,Magic Stone,Uncommon,Required,Stone of Ill Luck,450
Magic Items,Weapon,Boomerang,Uncommon,NA,Storm Boomerang,500
Magic Items,Weapon,Any Sword,Uncommon,Required,Sword of Vengeance,750
Potions,,,Uncommon,NA,Thessaltoxin Antidote,300
Magic Items,Weapon,Trident,Uncommon,Required,Trident of Fish Command,750
Magic Items,Clothing,,Uncommon,NA,Uncommon Glamerweave,300
Magic Items,Wand,,Uncommon,Required,Wand of Entangle,375
Magic Items,Wand,,Uncommon,NA,Wand of Magic Detection,250
Magic Items,Wand,,Uncommon,NA,Wand of Magic Missiles,250
Magic Items,Wand,,Uncommon,NA,Wand of Secrets,250
Magic Items,Wand,,Uncommon,Required,Wand of Web,375
Magic Items,Wondrous,,Uncommon,NA,Wheel of Wind and Water,300
Magic Items,Wondrous,,Uncommon,NA,Wind Fan,300
Magic Items,Boots,,Uncommon,Required,Winged Boots,375
Magic Items,Clothing,,Uncommon,Required,Wingwear,450
Magic Items,Weapon,Greatsword,Uncommon,NA,Winter's Dark Bite,500
Magic Items,Weapon,Yklwa,Uncommon,NA,"Yklwa, +1",500
Magic Items,Ring,,Uncommon,Required,Ring of Preferred Death,375
Magic Items,Wondrous,Instrument,Uncommon,Required,Fochlucan Bandore,450
Potions,Healing,,Uncommon,NA,Potion of Greater Healing,300
Magic Items,Wondrous,Magic Stone,Uncommon,Required,Feywild Shard,450
Magic Items,Wondrous,,Uncommon,Required,Guardian Emblem,450
Magic Items,Weapon,Sickle,Uncommon,Required,"Moon Sickle, +1",450
Magic Items,Weapon,Cloak,Uncommon,Required,Nature's Mantle,450
Magic Items,Wondrous,Instrument,Uncommon,Required,"Rhythm Maker's Drum, +1",450
Magic Items,Wondrous,,Uncommon,Required,"Bloodwell Vial, +1",450
Magic Items,Manual,,Uncommon,Required,"Arcane Grimoire, +1","1,500"
Magic Items,Amulet,,Uncommon,Required,"Amulet of the Devout, +1",750
Magic Items,Wondrous,,Uncommon,Required,"All-Purpose Tool, +1",450
Magic Items,Weapon,Cloak,Uncommon,Required,Piwafwi (Cloak of Elvenkind),450
Magic Items,Weapon,Any Sword,Rare,Required,Acheron Blade,"8,750"
Magic Items,Weapon,Ammunition,Rare,NA,"Ammunition, +2","5,000"
Magic Items,Amulet,,Rare,Required,Amulet of Health,"13,125"
Magic Items,Armor,"Light, Medium, or Heavy (with Resistance)",Rare,Required,Armor of Resistance,"12,250"
Magic Items,Armor,Plate,Rare,Required,Armor of Vulnerability,"12,250"
Magic Items,Armor,"Light, Medium, or Heavy",`Rare,NA,"Armor, +2","7,000"
Magic Items,Armor,Shield,Rare,Required,Arrow-Catching Shield,"12,250"
Magic Items,Weapon,Bag,Rare,NA,Bag of Beans,"8,000"
Magic Items,Armor,Shield,Rare,Required,Battering Shield,"12,250"
Magic Items,Wondrous,,Rare,NA,Bead of Force,"8,000"
Magic Items,Weapon,Belt,Rare,NA,Belt of Dwarvenkind,"8,000"
Magic Items,Weapon,Belt,Rare,NA,Belt of Giant Strength,"8,000"
Magic Items,Weapon,Any Axe,Rare,Required,Berserker Axe,"8,750"
Magic Items,Weapon,Mace,Rare,NA,Bonecounter,"5,000"
Magic Items,Weapon,Boomerang,Rare,NA,"Boomerang, +2","5,000"
Magic Items,Boots,,Rare,Required,Boots of Levitation,"6,125"
Magic Items,Boots,,Rare,Required,Boots of Speed,"6,125"
Magic Items,Wondrous,,Rare,NA,Bowl of Commanding Water Elementals,"8,000"
Magic Items,Gauntlets,,Rare,Required,Bracers of Defense,"7,000"
Magic Items,Wondrous,,Rare,NA,Brazier of Commanding Fire Elementals,"8,000"
Magic Items,Clothing,,Rare,Required,Butcher's Bib,"8,750"
Magic Items,Wondrous,Instrument,Rare,Required,Canaith Mandolin,"14,000"
Magic Items,Cloak,,Rare,NA,Cape of the Mountebank,"5,000"
Magic Items,Wondrous,,Rare,NA,Censer of Controlling Air Elementals,"8,000"
Magic Items,Wondrous,Instrument,Rare,NA,Chime of Opening,"8,000"
Magic Items,Wondrous,Instrument,Rare,Required,Cli Lyre,"14,000"
Magic Items,Cloak,,Rare,Required,Cloak of Displacement,"8,750"
Magic Items,Cloak,,Rare,Required,Cloak of the Bat,"8,750"
Magic Items,Weapon,Any Weapon,Rare,Required,Corpse Slayer,"8,750"
Magic Items,Wondrous,,Rare,Required,Cube of Force,"14,000"
Magic Items,Wondrous,,Rare,NA,Daern's Instant Fortress,"8,000"
Magic Items,Weapon,Dagger,Rare,NA,Dagger of Venom,"5,000"
Magic Items,Wondrous,,Rare,NA,Dimensional Shackles,"8,000"
Magic Items,Weapon,Any Sword,Rare,NA,Dragon Slayer,"5,000"
Magic Items,Armor,Breastplate,Rare,NA,Dragonguard,"7,000"
Potions,Healing,,Rare,NA,Elixir of Health,"5,000"
Magic Items,Armor,Chain Shirt,Rare,NA,Elven Chain,"7,000"
Magic Items,Wand,,Rare,Required,Failed Experiment Wand,"6,125"
Magic Items,Wondrous,,Rare,NA,Quaal's Feather Token,"8,000"
Magic Items,Weapon,Any Sword,Rare,Required,Flame Tongue,"8,750"
Magic Items,Weapon,Vehicle,Rare,NA,Flying Chariot,"8,000"
Magic Items,Weapon,Vehicle,Rare,NA,Folding Boat,"8,000"
Magic Items,Wondrous,,Rare,Required,Galder's Bubble Pipe,"14,000"
Magic Items,Weapon,Any Sword,Rare,Required,Gambler's Blade,"8,750"
Magic Items,Wondrous,Magic Stone,Rare,Required,Gem of Seeing,"14,000"
Magic Items,Weapon,Any Axe or Sword,Rare,NA,Giant Slayer,"5,000"
Magic Items,Armor,Studded Leather,Rare,NA,Glamoured Studded Leather,"7,000"
Magic Items,Helmet,,Rare,Required,Helm of Teleportation,"8,750"
Magic Items,Helmet,,Rare,Required,Helm of the Gods,"8,750"
Magic Items,Weapon,Bag,Rare,NA,Heward's Handy Haversack,"8,000"
Magic Items,Weapon,Horn,Rare,NA,Horn of Blasting,"8,000"
Magic Items,Weapon,Horn,Rare,NA,Horn of Valhalla,"8,000"
Magic Items,Wondrous,,Rare,NA,Horseshoes of Speed,"8,000"
Magic Items,Wondrous,,Rare,NA,Iron Bands of Bilarro,"8,000"
Magic Items,Armor,Leather,Rare,Required,Leather Golem Armor,"12,250"
Magic Items,Weapon,Mace,Rare,Required,Mace of Disruption,"8,750"
Magic Items,Weapon,Mace,Rare,NA,Mace of Smiting,"5,000"
Magic Items,Weapon,Mace,Rare,Required,Mace of Terror,"8,750"
Magic Items,Cloak,,Rare,Required,Mantle of Spell Resistance,"8,750"
Magic Items,Amulet,,Rare,NA,Master's Amulet,"7,500"
Magic Items,Weapon,Any Sword,Rare,Required,Mind Blade,"8,750"
Magic Items,Weapon,Whip,Rare,Required,Mind Lash,"8,750"
Magic Items,Armor,Half Plate,Rare,NA,"Mithral Half Plate, +1","7,000"
Magic Items,Armor,"Medium or Heavy, but Not Hide",Rare,NA,Mizzium Armor,"7,000"
Magic Items,Wondrous,,Rare,NA,Mizzium Mortar,"8,000"
Magic Items,Armor,"Breastplate, Half Plate, or Plate",Rare,Required,Molten Bronze Skin,"12,250"
Magic Items,Amulet,,Rare,NA,Necklace of Fireballs,"7,500"
Magic Items,Amulet,,Rare,Required,Necklace of Prayer Beads,"13,125"
Magic Items,Weapon,Dagger,Rare,Required,Needle of Mending,"8,750"
Potions,,,Rare,NA,Oil of Etherealness,"5,000"
Magic Items,Armor,Shield,Rare,Required,Pariah's Shield,"12,250"
Magic Items,Wondrous,,Rare,NA,Periapt of Proof against Poison,"8,000"
Magic Items,Weapon,Shortsword,Rare,Required,Piercer,"8,750"
Magic Items,Wondrous,,Rare,NA,Portable Hole,"8,000"
Magic Items,Weapon,Orb,Rare,NA,Professor Orb,"8,000"
Magic Items,Ring,,Rare,NA,Ring of Animal Influence,"3,000"
Magic Items,Ring,,Rare,Required,Ring of Evasion,"5,250"
Magic Items,Ring,,Rare,Required,Ring of Feather Falling,"5,250"
Magic Items,Ring,,Rare,Required,Ring of Free Action,"5,250"
Magic Items,Ring,,Rare,Required,Ring of Protection,"5,250"
Magic Items,Ring,,Rare,Required,Ring of Resistance,"5,250"
Magic Items,Ring,,Rare,Required,Ring of Spell Storing,"5,250"
Magic Items,Ring,,Rare,Required,Ring of Temporal Salvation,"5,250"
Magic Items,Ring,,Rare,Required,Ring of the Ram,"5,250"
Magic Items,Ring,,Rare,Required,Ring of X-ray Vision,"5,250"
Magic Items,Clothing,,Rare,Required,Robe of Eyes,"8,750"
Magic Items,Clothing,,Rare,Required,Robe of Summer,"8,750"
Magic Items,Rod,,Rare,Required,Rod of Rulership,"10,500"
Magic Items,Rod,,Rare,Required,"Rod of the Pact Keeper, +2","10,500"
Magic Items,Rod,,Rare,NA,Rod of the Vonindod,"6,000"
Magic Items,Wondrous,,Rare,NA,Rope of Entanglement,"8,000"
Magic Items,Armor,Plate,Rare,NA,Scorpion Armor,"7,000"
Magic Items,Scroll,,Rare,NA,Scroll of Protection,"7,500"
Magic Items,Armor,Shield,Rare,NA,Shield of Far Sight,"7,000"
Magic Items,Armor,Shield,Rare,Required,Shield of Missile Attraction,"12,250"
Magic Items,Armor,Shield,Rare,NA,"Shield, +2","7,000"
Magic Items,Wondrous,Instrument,Rare,Required,Siren Song Lyre,"14,000"
Magic Items,Wondrous,Magic Stone,Rare,NA,Speaking Stone,"8,000"
Magic Items,Staff,,Rare,Required,Spider Staff,"13,125"
Magic Items,Staff,,Rare,Required,Staff of Charming,"13,125"
Magic Items,Staff,,Rare,Required,Staff of Defense,"13,125"
Magic Items,Staff,,Rare,Required,Staff of Healing,"13,125"
Magic Items,Staff,,Rare,Required,Staff of Swarming Insects,"13,125"
Magic Items,Staff,,Rare,Required,Staff of the Ivory Claw,"13,125"
Magic Items,Staff,,Rare,Required,Staff of the Woodlands,"13,125"
Magic Items,Staff,,Rare,Required,Staff of Withering,"13,125"
Magic Items,Wondrous,Magic Stone,Rare,NA,Stone of Controlling Earth Elementals,"8,000"
Magic Items,Wondrous,Magic Stone,Rare,Required,Stonespeaker Crystal,"14,000"
Magic Items,Weapon,Longsword,Rare,Required,Sun Blade,"8,750"
Magic Items,Weapon,Warhammer,Rare,Required,Sunforger,"8,750"
Magic Items,Weapon,Any Sword,Rare,Required,Sword of Life Stealing,"8,750"
Magic Items,Weapon,Any Sword,Rare,Required,Sword of Wounding,"8,750"
Magic Items,Rod,,Rare,Required,Tentacle Rod,"10,500"
Magic Items,Weapon,Sling,Rare,NA,Two-Birds Sling,"5,000"
Magic Items,Weapon,Rapier,Rare,NA,"Vicious Rapier, +1","5,000"
Magic Items,Wand,,Rare,Required,Wand of Binding,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Enemy Detection,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Fear,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Fireballs,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Lightning Bolts,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Paralysis,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Viscid Globs,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Winter,"6,125"
Magic Items,Wand,,Rare,Required,Wand of Wonder,"6,125"
Magic Items,Cloak,,Rare,Required,Wings of Flying,"8,750"
Magic Items,Weapon,Yklwa,Rare,NA,"Yklwa, +2","5,000"
Potions,Healing,,Rare,NA,Potion of Superior Healing,"5,000"
Magic Items,Weapon,Sickle,Rare,Required,"Moon Sickle, +2","14,000"
Magic Items,Wondrous,Instrument,Rare,Required,"Rhythm Maker's Drum, +2","14,000"
Magic Items,Wondrous,,Rare,Required,"Bloodwell Vial, +2","14,000"
Magic Items,Manual,,Rare,Required,"Arcane Grimoire, +2","17,500"
Magic Items,Amulet,,Rare,Required,"Amulet of the Devout, +2","13,125"
Magic Items,Wondrous,,Rare,Required,"All-Purpose Tool, +2","14,000"
Magic Items,Manual,,Rare,Required,Alchemical Compendium,"17,500"
Magic Items,Wondrous,Magic Stone,Rare,Required,Astral Shard,"14,000"
Magic Items,Wondrous,Manual;Orb,Rare,Required,Astromancy Archive,"14,000"
Magic Items,Manual,,Rare,Required,Atlas of Endless Horizons,"17,500"
Magic Items,Wondrous,Instrument,Rare,Required,Bell Branch,"14,000"
Magic Items,Weapon,Flail,Rare,Required,Devotee's Censer,"8,750"
Magic Items,Manual,,Rare,Required,Duplicitous Manuscript,"17,500"
Magic Items,Wondrous,Magic Stone,Rare,Required,Elemental Essence Shard,"14,000"
Magic Items,Wondrous,Magic Stone,Rare,Required,Far Realm Shard,"14,000"
Magic Items,Manual,,Rare,Required,Fulminating Treatise,"17,500"
Magic Items,Manual,,Rare,Required,Heart Weaver's Primer,"17,500"
Magic Items,Manual,,Rare,Required,Libram of Souls and Flesh,"17,500"
Magic Items,Wondrous,Instrument,Rare,Required,Lyre of Building,"14,000"
Magic Items,Wondrous,Magic Stone,Rare,Required,Outer Essence Shard,"14,000"
Magic Items,Manual,,Rare,Required,Planecaller's Codex,"17,500"
Magic Items,Manual,,Rare,Required,Protective Verses,"17,500"
Magic Items,Wondrous,Instrument,Rare,Required,Reveler's Concertina,"14,000"
Magic Items,Wondrous,Magic Stone,Rare,Required,Shadowfell Shard,"14,000"
Magic Items,Weapon,Any Weapon,Rare,NA,Weapon of Certain Death,"5,000"
Magic Items,Wondrous,,Very Rare,Required,"All-Purpose Tool, +3","90,000"
Magic Items,Weapon,Ammunition,Very Rare,NA,"Ammunition, +3","50,000"
Magic Items,Amulet,,Very Rare,Required,Amulet of the Devout, +3"90,000"
Magic Items,Amulet,,Very Rare,Required,Amulet of the Planes,"90,000"
Magic Items,Armor,Shield,Very Rare,Required,Animated Shield,"150,000"
Magic Items,Wondrous,Instrument,Very Rare,Required,Anstruth Harp,"90,000"
Magic Items,Manual,,Very Rare,Required,"Arcane Grimoire, +3","180,000"
Magic Items,Armor,"Light, Medium, or Heavy",Very Rare,NA,"Armor, +3","75,000"
Magic Items,Weapon,Arrow,Very Rare,NA,Arrow of Slaying,"50,000"
Magic Items,Weapon,Bag,Very Rare,NA,Bag of Devouring,"45,000"
Magic Items,Weapon,Any Sword,Very Rare,Required,Blade of the Medusa,"100,000"
Magic Items,Weapon,Greataxe,Very Rare,Required,Bloodaxe,"100,000"
Magic Items,Wondrous,,Very Rare,Required,Bloodwell Vial, +3,"90,000"
Magic Items,Weapon,Boomerang,Very Rare,NA,"Boomerang, +3","50,000"
Magic Items,Wondrous,,Very Rare,Required,Candle of Invocation,"90,000"
Magic Items,Wondrous,,Very Rare,NA,Carpet of Flying,"45,000"
Magic Items,Wondrous,,Very Rare,Required,Cauldron of Rebirth,"90,000"
Magic Items,Weapon,Orb,Very Rare,Required,Chronolometer,"90,000"
Magic Items,Cloak,,Very Rare,Required,Cloak of Arachnida,"50,000"
Magic Items,Weapon,Orb,Very Rare,Required,Crystal Ball,"90,000"
Magic Items,Weapon,Orb,Very Rare,Required,Crystalline Chronicle,"90,000"
Magic Items,Weapon,Any Sword,Very Rare,Required,Dancing Sword,"100,000"
Magic Items,Armor,Plate,Very Rare,Required,Demon Armor,"150,000"
Magic Items,Wondrous,,Very Rare,Required,Dimensional Loop,"90,000"
Magic Items,Wondrous,Magic Stone,Very Rare,NA,Dispelling Stone,"45,000"
Magic Items,Armor,Scale Mail,Very Rare,Required,Dragon Scale Mail,"150,000"
Magic Items,Weapon,Warhammer,Very Rare,Required,Duskcrusher,"100,000"
