Drink Name,Drink Color,Flavor Text,Drink Effect,Container,Price (GP)
Demon's Blood,Black with Red Spots Floating Inside,A drink preferred by fiends and devils. Made from Cinnamon Bark and of course demon's blood.,"If any other creature other than a fiend, Tiefling, or devil drinks this they take {{Rand1-10}} Necrotic Damage, and must make a CON save DC 10 or be poisoned for {{Rand1-6}} hour(s), taking {{Rand1-4}} poison damage every hour. The creature cannot heal while poisoned by the drink. If the creature falls unconscious the poison stops until the creature is awake. The creature can still be stabilized.",Pint,0.5
Dragon Poison Ale,Dark Green with Bubbles,"A drink made with Poison that normally used to kill Dragons, however the amount used is miniscule and isn't fatal to drinkers.","Make a CON saving throw DC15. On a success, you gain 10 temporaty Hit Points for the next 10 minutes. On a failure, you are knocked unconscious for the next 10 minutes.",Pint,10
Dragon's Milk,"A Deep Rusty Brown, almost Black with Toffee Colored Bubbles, almost Opaque when Held to the Light","Brewed by a secretive enclave who mark their bottles with the rune of Othala. Born of a mixing of an ancient Dwarven recipe with skill and flavor from members of all the civilized races and it is even said the aid of a few dragons. This brew has a strong flavor of chocolatey grains, vanilla, bitter hops, and a myriad of spices appealing differently to each imbiber. It is most commonly found in Dwarven enclaves and Elven kingdoms but has been making headway into the taverns of all the civilized races; though with limited supply this is leading to an overall price increase over time making it ever more popular among nobles as a status symbol.","You are instantly warmed and enjoy a profound euphoria. You remove one level of exhaustion and are immune to the ill effects of cold weather, being frightened, and being poisoned for the next hour. You also begin to act recklessly as many of your mortal worries are resolved by this drink.",Bottle,25
Dragonfire Brandy,Deep Candy Apple Red with Swirling Orange Mist,Aged brandy with a hint of Apple Cider / Red hots. Smooth,"Make a CON saving throw DC 13. On a success, nothing happens. On a failure, you have disadvantage to all Persuation checks.",Glass,1
Drunken Uncle,"Thick, Dark Brown Stout, with the Consistency of Eggnog","Tasty, mouth-coating, drink that tends to remind the consumer of fond family gatherings.","Make a CON saving throw of DC 13. On a failure, you either reveal one of your deepest, darkest secrets, or tell an extremely inappropriate/embarrassing story. The DC increases by 1 for each drink consumed.",Pint,0.3
Dry Heave,White,"Sour at first, then burns with a vengeance. After taste leaves a lingering effect.","Make a CON saving throw DC 17. On a success, you gain +2 to Intimidation for {{Rand1-4}} rounds. On a failure, you suffer from dry heaves lasting {{Rand1-4}} rounds.",Pint,0.03
Dwarven Drought,Almond Brown,"Served in a deep heavy tankard, the musty oakish odor is inviting to few but those with the affinity to damp basements. Meant to fill the void of the deep dark caverns, brewed with only the finest dwarven barley this is a strong beer for the strong willed.","You gain a +1 to Intimidation and Persuasion, and a -2 to Intelligence checks for every 2 drinks.",Tankard,0.05
Elven Battle Spirit,Clear,"A sake Brewed by the Elves, this rice wine is believed to contain the spirits of Ancient warriors, consumed to gain those warrior's courage","You gain a +2 to Constitution saves, a -1 to Dexterity saves, and are immune to fear for 24 hours.",Tea Kettle with 5 Cups,15
Eye of the Beholder,Milky White,An alcoholic drink made by nomadic groups in which a hardboiled egg is added to fermented goats milk.,The drink is surprisingly good and gives you a buzz.,Glass,0.03
Fire Ball,Fiery Red,"Have you ever wondered what hell fire would taste like? Then fireball is for you! ""Man i chugged a quart of fireball before the dance and the guards were all over my ass as soon as i walked in."" Best night ever!",After drinking a fireball shot you feel the hot embrace of hell in your lungs. You gain Cold Resistance for the next 30 minutes.,Shot,0.9
Firewine,Deep Red Wine,"This ruby rich delight is packed with mouth-watering sumptuousness with hints of bramble, blackberry, boysenberry, Don Cherry and Frankenberry flourishes. A treat to eat with beef or lamb.",You gain disadvantage on Charisma based checks for {{Rand1-6}} hour(s).,Glass,5
Flavoured Water,Clear Lemon Water,"It's a nice, tall glass of water, known for hydrating thirsty travellers exceptionally well. A slice of lemon has been added as a nice garnish. The glass is surprisingly clean as well.","You are no longer dehydrated, and you feel like this will help whatever hangover you may have had the next day. After finishing the drink, you find a small clear coin sitting next to your glass. The coin is a Coin of Hydration; when dropped in a glass of any liquid, the coin dissolves and turns the liquid into clean, clear, refreshing water.",Glass,0.5
Fuzzy Night,Opaque Purple,"A thick liquid that has a sweet taste, but has a slightly bitter aftertaste. Many patrons enjoy it with a spoonful of honey mixed in to cut the aftertaste.",Make a CON saving throw DC 8 or the events of the evening will be forgotten the next time the character takes a long rest. The DC increases by 2 for each drink consumed after the first drink.,Mug,2
Giftmouth,Red Wine with a Dash of Purple,It's short and sweet and leaves you light on your feet. Makes you feel smart and attentive. You begin to notice things that you hadn't been able to comprehend before. A popular drink among aristocrats and nobles.,"You gain a +5 to Perception rolls, and find yourself able to understand {{RandomLanguage}} you didn't know before for the next {{Rand1-4}} hour(s).",Glass,10
Glass Milk,Clearish/White,"An expensive drink popular among desert dwellers. However, it is not for the faint of heart (or loot!)","If you drink this and tipping the bartender, you gain a +4 to persuasion until you succeed on a persuasion check. However, if you don't tip, you will be cursed with the effect of Phantasmal Force determined by the DM.",Glass,20
Glavgalask,Golden Brown,"The translation of this drink's name is an old, orcish curse. Known for being one of the toughest drinks ever, few people can handle this and not end up on their backside. It is rarely drunk purely for fun, generally it is drunk in ceremonies and competitions. It's taste and consistency is that of jet fuel.","Make a CON saving throw DC 15. On a success, you are poisoned for one minute. On a failure, you fall unconscious for {{Rand1-4}} hour(s). If this drink is cooked into food, all diseases are removed from it. Any food that has this drink cooked in, does not force the constitution save that drinking it straight would cause.",Tankard,10
Glitter,Clear with Flecks of Gold & Silver,"A sweet, light craft beer brewed from magically grown sugar. It's often drunk at parties and given as a gift between nobles.Must be bought from the distiller. Will only be sold to those of upper class or renown.","Roll a D20. On a 19-20, you are cured of all non-magical poisons and diseases. A bottle contains 10 drinks.",Bottle (10 Drinks),100
Glowglass,Green Phosphorescent,"A gnomish concoction made from glowing mushrooms. Most non gnomes refuse to drink this sweet liquor, most gnomes laugh at this.",You begin glowing softly like a candle for {{Rand1-4}} hour(s). You radiate low light for 5ft.,Shot,0.2
Goat's Milk,White,Fresh goat's milk. What more could you want? It's cool and refreshing.,Your bones feel enriched from the calcium in the drink. You feel proud of yourself for making this choice.,Glass,0.03
Goat's Piss,Clear Deep Yellow,"""What? Eww no of course I'm not going to drink it...What do you mean, a coward?! Pass that here and watch me down this whole thing!""","Make a CON saving throw DC 10. On a failure, become incredibly nauseous and have disadvantage on all Charisma based checks. On a success, you gain the admiration of all of the bar-goers, gaining advantages on all Charisma checks at the bar the rest of the night, as well as a free drink of your choice or a free round of ale/beer for your friends.",Shot (Free as a Challenge),0
Goblin Grog,Putrid Green,The cheapest rot gut ale in the land. This is the stuff that can be brewed with all types of ingredients sometimes including goblin. Taste is terrible but gets the job done,"Non-Goblins spend their Long Rest vomitting and dry heaving, and gain a point of exhaustion.",Pint,0.1
Green Fey,Lime Green,Made from the wormwood root but not sweetened like liquors.,"Make a CON saving throw DC 16, or spend {{Rand1-12}} hour(s) vomitting the next day. You gain a level of exhaustion.",Glass,40
Gregory's Groovy Grog,Mostly Clear with a Light Brown Hue,"Made with a mix of Dwarven Whisky, Brandy, and fresh lemons. Captain Gregory created this tasty drink, to serve to his crew. This drink will keep for months, making it perfect for a long voyage.","For 8 hours, you gain resistance to fire and poison damage and gain a +2 to Constitution saving throws.",Pint (300 GP/ Barrel),3
Griffin Nest,Medium Brown,A shot of Dwarven Brandy with a raw egg in it.,Make a CON saving throw DC 10 or vomit your most recent meal.,Shot,0.05
Gut Shaker,Yellow-Brown with Lots of Body,"Made from fermented goat's milk and a proprietary blend of psychoactive deep mushrooms, this dwarven brew preferred by Battleragers is not for the faint of heart or stomach. It tastes like a mixture of hangover bile and someone punching you in the face repeatedly with a spiked gauntlet.","You become enraged, you have advantage on Strength checks and Strength saving throws and have resistance to bludgeoning, piercing, and slashing damage. However, you are unable to voluntarily end this for 1 minute; after the effect wears off, gain 1 level of exhaustion.",Tankard,2
Gutbuster,Dark Brown,"A thick dwarven brew, very rarely shared with non-dwarves.","After drinking this brew, you gain resistance to poison for {{Rand1-4}} hour(s).",Tankard,5
Hangman's Noose,Yellowish Brown,"It tastes like disappointment. It's not bad, but simply disappointing. If you were hoping for a warm drink, it's cold; if you were hoping for carbonation, it's flat; if you're looking to get drunk, you feel tired instead.","You feel a depression overcome you. If you're already depressed, this effect amplifies any anger, resentment, self-pity, sadness or any other negative emotions that cloud your mind. You also have a -{{Rand1-12}} to Wisdom based checks for the next 12 hours.",Pint,0.05
Harpy's Scream,"In a Colour Similar to Skin, with what Looks like Very Thin Skin Floating at the Top","This concoction, despite its appearance, isn't actually that bad. It tastes a little bit bitter at first, but once you swallow the ""skin"" on top it becomes sweet... and then spicy. Very spicy.","Once the drink turns ""spicy"", make a STR saving throw DC 11. On a failure, you begin screaming for the next 5 minutes, annoying everyone in the area. On a success, you gain +2 for Performance checks for the next hour.",Tankard,0.1
Heart of the Halls,Clear,"Distilled from only the most select yellow mould, this sharp-tongued spirit brings vigor and life to any looking for a good fight.","You gain a +2 to Athletics, Acrobatics, or Intimidation Checks for the next hour and are immune to the drink for the next 8 hours.",Pint,1
Hellfire Whisky,Deep Dark Red,"Brewed by Demons, Devils, and even Dwarves. It is said that Hades himself came up with this drink as a way to get himself drunk. Primarily Tastes of Strong Whisky and Lots of Cinnamon.",{{HellfireWhisky}},Shot,5
"Hop, Skip, & Go Naked",Light Green,"A strong Mead that has a very high alcohol content. Brewed from the best barley, hops, and herbs in the land. Is known to get the local townsfolk to do things they normally might not do with just one goblet. Hence the name.",{{HopSkipGoNaked}},Tankard,1
Jailhouse Wine,A Violent Orange Colour Mixed with Streaks of Deep Red,"Made famous by prisoners who smuggled in goods into their cells in order to forget the monotony of their sentences, the drink is composited of cheap and easy to get materials in order to get you blazing drunk. Has a strong sugary and fruity flavour that borders on the sensation of fermentation.","Make a WIS saving throw DC 12. On a success, you get blazing drunk. On a failure, you are filled with a massive sense of paranoia for the next 6 hours.",Pint,0.01
Jelly Drink,A Greenish Drink with a Gelatin Consistency,"It's as it sounds like. The drink is comprised of a green minty liquid filled with gelatinous cubes that can either be chewed or swallowed whole. The drink itself is a little sour but with the sweetness of the cubes in contrast, it makes it a rather unique and flavoursome experience.",Allows sour food to taste sweet and visa versa. Effect lasts for only 30 mins per drink.,Glass,0.1
Kenku's Claw,Black with a Streak of Grey,Served in a curved glass in that of a claw. The drink's warmth can be felt spreading throughout your body before the sensation changes to what feels like a cut across your chest.,"Make a CON saving throw DC 16. On a failure, you being shouting expletives very loudly for a round. On a success, you gain darkvision comparable to that of a Kenku for {{Rand1-4+Rand1-4}} hours and cough up a feather.",Glass,0.2
Kossuths' Kiss,Red with Orange & Yellow Flame-like Swirls,Cinnamon Schnapps with a special proprietary ingredient the bartender lights on fire before serving,You feel nice and warm.,Glass,0.5
Lizard Spit,Bubbly Clear,"Harvested from the lizards of the world, this drink smells of rotting flesh and metal. The bartender will give anyone who can keep this drink down 2 gold and a place on his tavern wall for them to carve their name.",Make a CON saving throw DC 18 or vomit on yourself and take {{Rand1-6+Rand1-6}} necrotic damage.,Pint,0.4
Lover's Kiss,Light Pink with Tiny Flecks of White,A highly addictive drink as it makes the consumer believe they are kissing their lover with each sip. Can work on those who are single too. Be careful when consuming though as it encourages drinkers to forget their surroundings and to indulge in intimate acts. Has resulted in many being caught doing indcent sexual acts publicly and making a fool of themselves.,"Make a CON or WIS saving throw DC 10. On a success, you feel the desire to partake in ludicrous, potentially sexual, acts but will yourself to remain calm. On a failure, if you are single, you give into your base instincts of self love. If you are in a consenual relationship of some kind, you proceed to attempt to indulge your fantasies with your partner.",Tankard,2.5
Meaty Mead,Mustard Yellow,Sweeter than the desert this mead is thick enough to hold up the spoon that harvested the honey that made it. Good luck to anyone who drinks many of these devilish treats.,"You feel yourself empowered by the drink, gain +2 to all ability checks and saving throws for 2 hours per drink. After a your next long or short rest, make a CON saving throw DC 15. On a success, nothing happens. On a failure, your speed is reduced by half, and you have a -1 to all ability checks per drink until your next long rest.",Pint,0.02
Merchant's Lucky Day,A Simmering Brown with Tiny Golden Flecks Swirling throughout its Depths,"The drink tastes almost like copper, like you'd been licking coins or pipes all day long. The metallic aftertaste however slowly begins to whittle down the more you drink of it, and eventually becomes something enjoyable.","You feel lucky, incredibly lucky. Any ability or action taken to gain money such as asking, looting, performing gives a higher payout than normal.",Tankard,2
Milligun's Deep Stout,Deep Chocolate to Black with a White Frothy Head,"A brew hailing from one of the most revered Dwarven breweries, Milligun's is their signature brew. Even uncommon in Dwarven communities, it is rare to find in human establishments. A complex, deep, hearty flavor lingering of coffee and burnt grain with a bold body and a hint of plum.",You gain advantage against being Frightened for the next 2 hours.,Tankard,1
Morg's Magnificent Meed,A Thick Gold,"A magically imbued Mead, created by the Mage's guild. Often brewed for Royalty and Nobility, who embrace magic.","Take a drink and choose one; A) increase Intelligence by 4 for 10 minutes (maximum of 20), B) gain back one spell slot used today 5th Level or lower, C) affect up to 3 target's attitudes as per the suggestion spell.",Bottle (4 Drinks),50
Nyssa's Nectar,Clear with Pearl/Opalesque Swirls & Feint Random Tiny Glowing Pink Lights,"A delicious alchemical / alcoholic concoction. Made with Tiefling Fire vodka and a dash of a pixie sugar dust, and a teaspoon of honey. The bartender casts two spells over this drink; Faerie Fire, and an unnamed spell. This drink is designed for the patrons in the tavern, usually female, who tire of the endless advancements of other rude patrons.","This drink tastes amazing, almost exactly what you're wishing for with a nice buzz. Make a CHA saving throw DC 17. On a success, nothing happens. On a failure, you are Stunned for 1 minute. After the minute is over, you feel your body shift. Those around you witness you switch to a different gender of the DM's choice. You remain this way until you complete a long rest.",Tankard,2
Old Stinky,Brown with Floating Debris,"A strong fungus ale, brewed by Eblo Harglet after he developed a taste for fungus ales in the Underdark.","In the next 24 hours, a harmless patch of mushrooms grow from a random location on your body. This patch will continue to grow mushrooms for {{Rand1-4}} day(s) or can be cured by magical healing.",Pint,0.01
One Beer to Rule Them All,"A Clear Liquid but when Held to Heat, Elven Writing Appears as Fiery Wisps throughout the Drink","Said to be brewed by an evil dark power in a long forgotten time, there is only one in existence, and the contents of a barrel have been known to be killed over. It is known to taste unlike anything you've ever had before. The flavor is unique to each person as it magically adapts to your preferred tastes and preferances.","On consumption, make a WIS saving throw DC 20. On a failure, you become addicted to the drink. 24 hours after consuming the drink, you become compelled to get more and will do anything in your power to do so. If you are unable to consume this drink again after another 24 hours, your compulsion ends. On a success, you gain the ability to cast Greater Invisibility for the next 24 hours.","Barrel (Only One in the World, 100 Drinks)","2,000"
Ork's Blood Brew,Blood Red with Crimson Froth,"Brewed by orcish shaman, this thick, salty, and bitter ale is made from the fermented blood of an orc chief's rival.","After each tankard, make a CON saving throw DC 11 (+1 for every additional tankard you drink throughout the night). On a success, nothing happens. On a failure, you feel naseuous. If you consume another tankard after becoming nauseous, you vomit.",Tankard,0.08
Ouzo,Swirls from Clear to Shimmering White,As you drink your mind becomes slightly clearer as if you'd been kicked in the head.,"After 3 drinks, {{Ouzo}} The effect lasts only 1 hour.",Tankard,0.5
Pan-Dimensional Gargle Blaster,A Teal Blue with a Foamy White Froth. Served in an Odd Shape Glass.,"Drink... but... very carefully... This drink was made by an interdimensional being of great importance, well at least at one point he was a leader of great importance. Noted to be the best drink in the known Universe.","With each sip the flavors hit your tongue. They mix and swirl giving you an experience you've never had before. Your eyes change to represent a stary universe and your mind and soul connect you to other versions of yourself across the multiverse. You pull back to yourself moments later from this strange ethereal sensation. You continue the night drinking and feeling good. You remain gone for as long as you're drinking but returning for air. You experience no magical addiction to the drink, but may desire more of it in due time. The next day you feel incredible, as if any of your potential pain and agony from drinking so much has been passed onto one of your other selves across the multiverse. You begin to wonder if another version of you is about to pass on their own fate to you... At any point during the campaign, the DM may ask any of their players to make a CON saving throw DC 20. On a success, you lose your turn attempting to stifle any vomit. On a failure, you fall prone throwing up on yourself, become poisoned, and lose your turn.",Bottle,2
Parroty Parroty Parroty Parrot,"A Clear Liquid Crossed with Red, Green & Yellow Stripes.","The drink tastes fluffy in your mouth, and nutty. It's smooth yet, light and bubbly enough to have you wanting more. Little do you realize however is that this fluffy feeling in your chest will soon extend to your entire body. You believe you have wings now, and oh? Is that a crest? You are now a parrot, or so you believe.","Make an INT saving throw DC 13. On a success, nothing happens. On a failure, you believe you've turned into a parrot, you act and speak like a parrot for the next 5 minutes.",Pint,3
Pixie Piss,A Swirling Myriad of Rainbows,"Created with a variety of drinks and maybe something a little more magical, the colors constantly swirl. Said to make people feel good and be good for those who always make bad jokes.",Everything becomes slightly more amusing as you smile brightly. Drinking more throughout the night will give you the ability to levitate a few inches off the ground.,Pint,5
Planar Guide,Dark Purple with Small Continuous Silver Bubbles,A hallucinogenic drink concocted of tentacles obtained between space and time by some Warlock of the Great Old Ones.,"Upon drinking this, your mind is instantly teleported to the follwing plane for 1 round. {{PlanarGuide}}",Tankard,10
Poorman's Wine,Watered-Down Milk Lacking in Consistency,"A drink made from potatoes, milk and some other kind of ingredients that you don't really want to think about. Raw and lacking in finesse and taste, it does the job it's supposed to - getting you blazing drunk... and maybe forgetting about your problems.","After 3 drinks, you forget one painful memory for the next {{Rand1-6}} hour(s). After the duration, your memory swells and the pain returns. For a moment you feel as if you're reliving it all over again.",Pint,0.01
Rado's Death Punch,Blood Red with a Blue Top Layer,"The best blend of magic and rum in the world. Dark rum mixed with a cherry cordial in a silver strainer imbued with magic, it tastes like a perfect wine and rum mix. To add the blue topper, simply stir with a golden spoon and the magic reacts to the gold, giving a random flavor each time it's poured.","Make a CON saving throw DC 16. On a failure, you take {{Rand1-10}} poison damage, become drunk for {{Rand1-4}} hour(s), and are unable to ask for another. On a success, you take {{Rand1-5}} poison damage and if you ask for another you must make a WIS saving throw DC 16. If you succeed on your CON saving throw a second time, the bar tender gives you a random {{CommonMagicItem}}.",Shot (Price Doubles after every Shot),0.2
Red Ribbon Runs Red,A Light Red that Darkens toward the Bottom of the Glass,"A mixture of something between rosewater and wine. The more you drink, the heavier the taste becomes.",You notice your hair and clothes become different shades of red and gain +2 Charisma when it comes to attracting attention for the next {{Rand1-6}} hour(s).,Glass,0.1
Roaring Eagle Ale,Blood Red with Various Fine Chopped Cloves,"A strong hearty Ale with a strong burning finish. No one knows why it is blood red in color. Possibly because of a reaction of the water they use in the brewing process, or because they barrels they use are made with Blood Root trees. Which grow special in the region where The Roaring Eagle is. Specialty at ""The Roaring Eagle"" Shipped around the world.","Make a CON saving throw DC 14. On a success, you gain fire resistance for the next 8 hours. On a failure, you take {{Rand1-6+Rand1-6+Rand1-6}} fire damage as your insides feel as if they're burning.",Tankard,0.2
Scumble,Muddy Brown,"It's made from apples, mostly. Slightly fizzy, don't let it contact metal.","After taking a shot, you feel incredible. You gain the effects of a Potion of Heroism. After taking 3 shots, you black out for the next 12 hours. Your DM controls you for the duration or until you complete a long rest.",Shot,0.1
Sea Shanty,"Aqua Blue, almost Azure","The drink swirls constantly in the glass, tugged downward like a whirlpool. This constant animation makes it a little annoying to consume as it is prone to spill.",You feel the swirling liquid affect you as you become more and more intoxicated. You also have a sudden urge to go swimming as you have Water Breathing for the next minute.,Pint,2
Shirley Temple of Elemental Evil,Swirly Chaotic Mix,"Incorporates the various base elements together, all with a hint of evil.",{{ShirleyTempleofElementalEvil}},Glass,0.1
Sildars Itch,Clear with White Shimmer,"Clear shot, strong apple and clove taste. The rumor is that this drink came from a distiller that had itchy back but nobody to scratch it.","Upon drinking your hands feel rather warm, and your fingernails grow {{Rand1-4}} cm.",Shot,0.2
Silver's Ale,Clear,"The pride and joy of a Dwarven clan in the South, Silver's Ale is a powerful Dwarven concoction that can act as an acidic weapon in a fight.","If you aren't a Dwarf, make a CON saving throw DC 15 or take {{Rand1-4+Rand1-4}} poison damage. The Ale does 2d4 Acid damage if used as an improvised weapon.",Pint,0.3
Skullbungle,Jet Black with Red Highlights,"A drink made by distilling strong dwarves spirits through a mash made of hallucinogenic mushrooms and powerful chili peppers. Staggeringly strong and harsh yet incredibly tasty. Imbibing the drink often produces soothing hallucinations, making this a popular drink among the downtrodden as well. Bottles are generally bought right from the distillery. A popular gift among nobles with a penchant for booze such as Dwarves, Orcs and Stoutblood halflings.",Make a CON saving throw DC 15 or be Poisoned for 1 minute. While poisoned in this way you cannot be frightened or charmed.,Bottle,0.5
Skullbuster XXX,Pink with Brown Lumps,"A potent orcish ale where the vintage is measured by how many lumps in it, the more the better. Normally only given as a rare gift by people who have done the orcish people a great service","If you are not an Orc or Half-Orc, make a CON saving throw DC 15 or pass-out for {{Rand1-6}} hour(s).",Tankard,10
Slog,Dark Brown,"This drink is taken from the waste barrel. All the leftover, half drunk, or not made correctly alcohol is thrown into the barrel to be reused very cheap. the taste changes daily based off the most unused alcohol that night.",Make a CON saving throw DC 8 or vomit on yourself.,Tankard,0.01
Snake Venom,"A Tempered Warm Brown, Served with a Severed Snake's Head","Isn't actually what it says it is, but when you look at the glass as the bartender hands it over to you, you can't help but wonder if you're being pranked. In the bottom of the warm brown liquid sits an inanimate head of a dead snake. The drink itself tastes bitter with an earthy tang. A potent drink, in more ways than one...","You gain Poison Resistance for {{Rand1-12}} hour(s), and you feel yourself full of pent up energy. Those in relationships may find themselves active for the rest of the evening.",Pint,0.01
Squid Ink,Black,Goes down slowly and coats your mouth and throat. Usually followed by a chaser.,You gain advantage on Stealth Checks for the next 24 hours.,Tankard,3
