Category,Secondary Category,Tertiary Categories,Rarity,Attunement,Item,Cost (GP)
Weapon,Any Weapon,Club;Dagger;Greatclub;Handaxe;Javelin;Light Hammer;Mace;Quarterstaff;Sickle;Spear;Yklwa;Boomerang;Light Crossbow;Dart;Shortbow;Sling;Battleaxe;Flail;Glaive;Greataxe;Greatsword;Halberd;Lance;Longsword;Maul;Morningstar;Pike;Rapier;Scimitar;Shortsword;Trident;War Pick;Warhammer;Whip;Blowgun;Hand Crossbow;Heavy Crossbow;Longbow;Net,Uncommon,NA,Hellfire Weapon,500
Helmet,Helmet,Helmet,Uncommon,NA,Helm of Comprehending Languages,300
Helmet,Helmet,Helmet,Uncommon,Required,Helm of Telepathy,450
Weapon,Battleaxe,Battleaxe,Uncommon,NA,Hew,500
Rod,Rod,Rod,Uncommon,NA,Immovable Rod,400
Goggles,Goggles,Goggles,Uncommon,Required,Inquisitive's Goggles,300
Weapon,Javelin,Javelin,Uncommon,NA,Javelin of Lightning,500
Wondrous,Wondrous,Wondrous,Uncommon,NA,Keoghtom's Ointment,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Lantern of Revealing,300
Weapon,Mace,Mace,Uncommon,NA,Lightbringer,500
Gloves,Gloves,Gloves,Uncommon,Required,Living Gloves,300
Wondrous,Instrument,Instrument,Uncommon,Required,Mac-Fuirmidh Cittern,450
Armor,Any Armor,Padded Armor;Leather Armor;Studded Leather Armor;Hide Armor;Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor;Spiked Armor;Pride Silk Outfit,Uncommon,NA,Mariner's Armor,700
Amulet,Amulet,Amulet,Uncommon,Required,Medallion of Thoughts,750
Armor,Any Heavy Armor,Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Uncommon,Required,Mind Carapace Armor,"1,050"
Armor,"Medium or Heavy, but Not Hide",Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Uncommon,NA,Mithral Amor,700
Wondrous,Wondrous,Wondrous,Uncommon,Required,Mizzium Apparatus,450
Amulet,Amulet,Amulet,Uncommon,Required,Necklace of Adaptation,750
Potion,Potion,Potion,Uncommon,NA,Oil of Slipperiness,300
Wondrous,Magic Stone,Magic Stone,Uncommon,Required,Pearl of Power,450
Wondrous,Wondrous,Wondrous,Uncommon,NA,Periapt of Health,300
Wondrous,Wondrous,Wondrous,Uncommon,Required,Periapt of Wound Closure,450
Potion,Potion,Potion,Uncommon,NA,Philter of Love,300
Wondrous,Instrument,Instrument,Uncommon,NA,Pipes of Haunting,300
Wondrous,Instrument,Instrument,Uncommon,Required,Pipes of the Sewers,450
Wondrous,Wondrous,Wondrous,Uncommon,NA,Portfolio Keeper,300
Helmet,Helmet,Helmet,Uncommon,NA,Propeller Helm,300
Wondrous,Quiver,Quiver,Uncommon,NA,Quiver of Ehlonna,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Restorative Ointment,300
Ring,Ring,Magic Ring,Uncommon,Required,Ring of Jumping,375
Ring,Ring,Magic Ring,Uncommon,Required,Ring of Mind Shielding,375
Ring,Ring,Magic Ring,Uncommon,Required,Ring of Obscuring,375
Ring,Ring,Magic Ring,Uncommon,NA,Ring of Swimming,250
Ring,Ring,Magic Ring,Uncommon,Required,Ring of Truth Telling,375
Ring,Ring,Magic Ring,Uncommon,Required,Ring of Warmth,375
Ring,Ring,Magic Ring,Uncommon,NA,Ring of Water Walking,250
Ring,Ring,Magic Ring,Uncommon,Required,Rings of Shared Suffering,375
Clothing,Clothing,Clothing,Uncommon,Required,Robe of Serpents,450
Clothing,Clothing,Clothing,Uncommon,NA,Robe of Useful Items,300
Rod,Rod,Rod,Uncommon,Required,Rod of Retribution,600
Rod,Rod,Rod,Uncommon,Required,"Rod of the Pact Keeper, +1",600
Wondrous,Wondrous,Wondrous,Uncommon,NA,Rope of Climbing,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Saddle of the Cavalier,300
Weapon,Dart,Dart,Uncommon,NA,Seeker Dart,500
Wondrous,Magic Stone,Magic Stone,Uncommon,NA,Sending Stone,300
Wondrous,Magic Stone,Magic Stone,Uncommon,NA,Sending Stones,300
Armor,Shield,Shield,Uncommon,NA,Sentinel Shield,700
Weapon,Longsword,Longsword,Uncommon,Required,Shatterspike,750
Armor,Shield,Shield,Uncommon,NA,"Shield, +1",700
Staff,Staff,Staff,Uncommon,Required,Skyblinder Staff,750
Wondrous,Boots,Boots,Uncommon,Required,Slippers of Spider Climbing,450
Wondrous,Wondrous,Wondrous,Uncommon,NA,Smokepowder,300
Wondrous,Coin,Coin,Uncommon,NA,Soul Coin,300
Wondrous,Wondrous,Wondrous,Uncommon,Required,Spies' Murmur,450
Staff,Staff,Staff,Uncommon,Required,Staff of the Adder,750
Staff,Staff,Staff,Uncommon,Required,Staff of the Python,750
Wondrous,Magic Stone,Magic Stone,Uncommon,Required,Stone of Good Luck,450
Wondrous,Magic Stone,Magic Stone,Uncommon,Required,Stone of Ill Luck,450
Weapon,Boomerang,Boomerang,Uncommon,NA,Storm Boomerang,500
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Uncommon,Required,Sword of Vengeance,750
Potion,Potion,Potion,Uncommon,NA,Thessaltoxin Antidote,300
Weapon,Trident,Trident,Uncommon,Required,Trident of Fish Command,750
Clothing,Clothing,Clothing,Uncommon,NA,Uncommon Glamerweave,300
Wand,Wand,Wand,Uncommon,Required,Wand of Entangle,375
Wand,Wand,Wand,Uncommon,NA,Wand of Magic Detection,250
Wand,Wand,Wand,Uncommon,NA,Wand of Magic Missiles,250
Wand,Wand,Wand,Uncommon,NA,Wand of Secrets,250
Wand,Wand,Wand,Uncommon,Required,Wand of Web,375
Wondrous,Wondrous,Wondrous,Uncommon,NA,Wheel of Wind and Water,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Wind Fan,300
Boots,Boots,Boots,Uncommon,Required,Winged Boots,375
Clothing,Clothing,Clothing,Uncommon,Required,Wingwear,450
Weapon,Greatsword,Greatsword,Uncommon,NA,Winter's Dark Bite,500
Weapon,Yklwa,Yklwa,Uncommon,NA,"Yklwa, +1",500
Ring,Ring,Magic Ring,Uncommon,Required,Ring of Preferred Death,375
Wondrous,Instrument,Instrument,Uncommon,Required,Fochlucan Bandore,450
Potion,Healing Potion,Healing Potion,Uncommon,NA,Potion of Greater Healing,300
Wondrous,Magic Stone,Magic Stone,Uncommon,Required,Feywild Shard,450
Wondrous,Wondrous,Wondrous,Uncommon,Required,Guardian Emblem,450
Wondrous,Sickle,Sickle,Uncommon,Required,"Moon Sickle, +1",450
Wondrous,Cloak,Cloak,Uncommon,Required,Nature's Mantle,450
Wondrous,Instrument,Instrument,Uncommon,Required,Rhythm- Maker’s Drum,450
Wondrous,Wondrous,Wondrous,Uncommon,Required,Bloodwell Vial,450
Manual,Manual,Manual,Uncommon,Required,Arcane Grimoire,"1,500"
Amulet,Amulet,Amulet,Uncommon,Required,Amulet of the Devout,750
Wondrous,Wondrous,Wondrous,Uncommon,Required,All-Purpose Tool,450
Wondrous,Cloak,Cloak,Uncommon,Required,Piwafwi (Cloak of Elvenkind),450
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Rare,Required,Acheron Blade,"8,750"
Weapon,Ammunition,Arrows;Blowgun Needles;Crossbow Bolts;Sling Bullets;Arrow,Rare,NA,"Ammunition, +2","5,000"
Amulet,Amulet,Amulet,Rare,Required,Amulet of Health,"13,125"
Armor,"Light, Medium, or Heavy (with Resistance)",Padded Armor (Acid);Leather Armor (Acid);Studded Leather Armor (Acid);Hide Armor (Acid);Chain Shirt Armor (Acid);Scale Mail Armor (Acid);Breastplate Armor (Acid);Half Plate Armor (Acid);Ring Mail Armor (Acid);Chain Mail Armor (Acid);Splint Armor (Acid);Plate Armor (Acid);Padded Armor (Cold);Leather Armor (Cold);Studded Leather Armor (Cold);Hide Armor (Cold);Chain Shirt Armor (Cold);Scale Mail Armor (Cold);Breastplate Armor (Cold);Half Plate Armor (Cold);Ring Mail Armor (Cold);Chain Mail Armor (Cold);Splint Armor (Cold);Plate Armor (Cold);Padded Armor (Fire);Leather Armor (Fire);Studded Leather Armor (Fire);Hide Armor (Fire);Chain Shirt Armor (Fire);Scale Mail Armor (Fire);Breastplate Armor (Fire);Half Plate Armor (Fire);Ring Mail Armor (Fire);Chain Mail Armor (Fire);Splint Armor (Fire);Plate Armor (Fire);Padded Armor (Force);Leather Armor (Force);Studded Leather Armor (Force);Hide Armor (Force);Chain Shirt Armor (Force);Scale Mail Armor (Force);Breastplate Armor (Force);Half Plate Armor (Force);Ring Mail Armor (Force);Chain Mail Armor (Force);Splint Armor (Force);Plate Armor (Force);Padded Armor (Lightning);Leather Armor (Lightning);Studded Leather Armor (Lightning);Hide Armor (Lightning);Chain Shirt Armor (Lightning);Scale Mail Armor (Lightning);Breastplate Armor (Lightning);Half Plate Armor (Lightning);Ring Mail Armor (Lightning);Chain Mail Armor (Lightning);Splint Armor (Lightning);Plate Armor (Lightning);Padded Armor (Necrotic);Leather Armor (Necrotic);Studded Leather Armor (Necrotic);Hide Armor (Necrotic);Chain Shirt Armor (Necrotic);Scale Mail Armor (Necrotic);Breastplate Armor (Necrotic);Half Plate Armor (Necrotic);Ring Mail Armor (Necrotic);Chain Mail Armor (Necrotic);Splint Armor (Necrotic);Plate Armor (Necrotic);Padded Armor (Poison);Leather Armor (Poison);Studded Leather Armor (Poison);Hide Armor (Poison);Chain Shirt Armor (Poison);Scale Mail Armor (Poison);Breastplate Armor (Poison);Half Plate Armor (Poison);Ring Mail Armor (Poison);Chain Mail Armor (Poison);Splint Armor (Poison);Plate Armor (Poison);Padded Armor (Psychic);Leather Armor (Psychic);Studded Leather Armor (Psychic);Hide Armor (Psychic);Chain Shirt Armor (Psychic);Scale Mail Armor (Psychic);Breastplate Armor (Psychic);Half Plate Armor (Psychic);Ring Mail Armor (Psychic);Chain Mail Armor (Psychic);Splint Armor (Psychic);Plate Armor (Psychic);Padded Armor (Radiant);Leather Armor (Radiant);Studded Leather Armor (Radiant);Hide Armor (Radiant);Chain Shirt Armor (Radiant);Scale Mail Armor (Radiant);Breastplate Armor (Radiant);Half Plate Armor (Radiant);Ring Mail Armor (Radiant);Chain Mail Armor (Radiant);Splint Armor (Radiant);Plate Armor (Radiant);Padded Armor (Thunder);Leather Armor (Thunder);Studded Leather Armor (Thunder);Hide Armor (Thunder);Chain Shirt Armor (Thunder);Scale Mail Armor (Thunder);Breastplate Armor (Thunder);Half Plate Armor (Thunder);Ring Mail Armor (Thunder);Chain Mail Armor (Thunder);Splint Armor (Thunder);Plate Armor (Thunder),Rare,Required,Armor of Resistance,"12,250"
Armor,Plate,Plate,Rare,Required,Armor of Vulnerability,"12,250"
Armor,"Light, Medium, or Heavy",Padded Armor;Leather Armor;Studded Leather Armor;Hide Armor;Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Rare,NA,"Armor, +2","7,000"
Armor,Shield,Shield,Rare,Required,Arrow-Catching Shield,"12,250"
Wondrous,Bag,Bag,Rare,NA,Bag of Beans,"8,000"
Armor,Shield,Shield,Rare,Required,Battering Shield,"12,250"
Wondrous,Wondrous,Wondrous,Rare,NA,Bead of Force,"8,000"
Wondrous,Belt,Belt,Rare,NA,Belt of Dwarvenkind,"8,000"
Wondrous,Belt,Belt,Rare,NA,Belt of Giant Strength,"8,000"
Weapon,Any Axe,Handaxe;Battleaxe;Greataxe,Rare,Required,Berserker Axe,"8,750"
Weapon,Mace,Mace,Rare,NA,Bonecounter,"5,000"
Weapon,Boomerang,Boomerang,Rare,NA,"Boomerang, +2","5,000"
Boots,Boots,Boots,Rare,Required,Boots of Levitation,"6,125"
Boots,Boots,Boots,Rare,Required,Boots of Speed,"6,125"
Wondrous,Wondrous,Wondrous,Rare,NA,Bowl of Commanding Water,"8,000"
Gauntlets,Gauntlets,Gauntlets,Rare,Required,Bracers of Defense,"7,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Brazier of Commanding Fire Elementals,"8,000"
Clothing,Clothing,Clothing,Rare,Required,Butcher's Bib,"8,750"
Wondrous,Instrument,Instrument,Rare,Required,Canaith Mandolin,"14,000"
Clothing,Cloak,Cloak,Rare,NA,Cape of the Mountebank,"5,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Censer of Controlling Air Elementals,"8,000"
Wondrous,Instrument,Instrument,Rare,NA,Chime of Opening,"8,000"
Wondrous,Instrument,Instrument,Rare,Required,Cli Lyre,"14,000"
Clothing,Cloak,Cloak,Rare,Required,Cloak of Displacement,"8,750"
Clothing,Cloak,Cloak,Rare,Required,Cloak of the Bat,"8,750"
Weapon,Any Weapon,Club;Dagger;Greatclub;Handaxe;Javelin;Light Hammer;Mace;Quarterstaff;Sickle;Spear;Yklwa;Boomerang;Light Crossbow;Dart;Shortbow;Sling;Battleaxe;Flail;Glaive;Greataxe;Greatsword;Halberd;Lance;Longsword;Maul;Morningstar;Pike;Rapier;Scimitar;Shortsword;Trident;War Pick;Warhammer;Whip;Blowgun;Hand Crossbow;Heavy Crossbow;Longbow;Net,Rare,Required,Corpse Slayer,"8,750"
Wondrous,Wondrous,Wondrous,Rare,Required,Cube of Force,"14,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Daern's Instant Fortress,"8,000"
Weapon,Dagger,Dagger,Rare,NA,Dagger of Venom,"5,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Dimensional Shackles,"8,000"
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Rare,NA,Dragon Slayer,"5,000"
Armor,Breastplate,Breastplate Armor,Rare,NA,Dragonguard,"7,000"
Potion,Healing Potion,Healing Potion,Rare,NA,Elixir of Health,"5,000"
Armor,Chain Shirt,Chain Shirt Armor,Rare,NA,Elven Chain,"7,000"
Wand,Wand,Wand,Rare,Required,Failed Experiment Wand,"6,125"
Wondrous,Wondrous,Wondrous,Rare,NA,Feather Token,"8,000"
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Rare,Required,Flame Tongue,"8,750"
Wondrous,Vehicle,Vehicle,Rare,NA,Flying Chariot,"8,000"
Wondrous,Vehicle,Vehicle,Rare,NA,Folding Boat,"8,000"
Wondrous,Wondrous,Wondrous,Rare,Required,Galdur's Bubble Pipe,"14,000"
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Rare,Required,Gambler's Blade,"8,750"
Wondrous,Magic Stone,Magic Stone,Rare,Required,Gem of Seeing,"14,000"
Weapon,Any Axe or Sword,Handaxe;Battleaxe;Greataxe;Greatsword;Longsword;Rapier;Scimitar;Shortsword,Rare,NA,Giant Slayer,"5,000"
Armor,Studded Leather,Studded Leather Armor,Rare,NA,Glamoured Studded Leather,"7,000"
Wondrous,Bag,Bag,Rare,NA,Handy Haversack,"8,000"
Helmet,Helmet,Helmet,Rare,Required,Helm of Teleportation,"8,750"
Helmet,Helmet,Helmet,Rare,Required,Helm of the Gods,"8,750"
Wondrous,Bag,Bag,Rare,NA,Heward's Handy Haversack,"8,000"
Wondrous,Horn,Horn,Rare,NA,Horn of Blasting,"8,000"
Wondrous,Horn,Horn,Rare,NA,Horn of Valhalla,"8,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Horseshoes of Speed,"8,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Instant Fortress,"8,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Iron Bands of Bilarro,"8,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Iron Bands of Binding,"8,000"
Armor,Leather,Leather Armor,Rare,Required,Leather Golem Armor,"12,250"
Weapon,Mace,Mace,Rare,Required,Mace of Disruption,"8,750"
Weapon,Mace,Mace,Rare,NA,Mace of Smiting,"5,000"
Weapon,Mace,Mace,Rare,Required,Mace of Terror,"8,750"
Clothing,Cloak,Cloak,Rare,Required,Mantle of Spell Resistance,"8,750"
Amulet,Amulet,Amulet,Rare,NA,Master's Amulet,"7,500"
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Rare,Required,Mind Blade,"8,750"
Weapon,Whip,Whip,Rare,Required,Mind Lash,"8,750"
Armor,Half Plate,Half Plate Armor,Rare,NA,"Mithral Half Plate, +1","7,000"
Armor,"Medium or Heavy, but Not Hide",Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Rare,NA,Mizzium Armor,"7,000"
Wondrous,Wondrous,Wondrous,Rare,NA,Mizzium Mortar,"8,000"
Armor,"Breastplate, Half Plate, or Plate",Breastplate Armor;Half Plate Armor;Plate Armor,Rare,Required,Molten Bronze Skin,"12,250"
Amulet,Amulet,Amulet,Rare,NA,Necklace of Fireballs,"7,500"
Amulet,Amulet,Amulet,Rare,Required,Necklace of Prayer Beads,"13,125"
Weapon,Dagger,Dagger,Rare,Required,Needle of Mending,"8,750"
Potion,Potion,Potion,Rare,NA,Oil of Etherealness,"5,000"
Armor,Shield,Shield,Rare,Required,Pariah's Shield,"12,250"
Wondrous,Wondrous,Wondrous,Rare,NA,Periapt of Proof against Poison,"8,000"
